array_eventsNumber,array_totalPredictions,array_precision,array_recall,array_stratifiedPrecision,array_stratifiedRecall,array_uniformPrecision,array_uniformRecall
147,429,0.300699300699301,0.571428571428571,0.210915492957747,0.196530612244898,0.21102343159486,1
147,515,0.287378640776699,0.612244897959184,0.197246376811594,0.177482993197279,0.200938775510204,1
146,547,0.285191956124314,0.650684931506849,0.188778625954198,0.16486301369863,0.189661375661376,0.999931506849315
142,522,0.273946360153257,0.619718309859155,0.181782945736434,0.158943661971831,0.174950869236584,1
139,460,0.26304347826087,0.553956834532374,0.154566929133858,0.134532374100719,0.162944822373394,1
136,412,0.245145631067961,0.514705882352941,0.1552,0.137941176470588,0.149732426303855,1
133,356,0.205056179775281,0.398496240601504,0.13552,0.122857142857143,0.13745275888133,0.999924812030075
132,475,0.206315789473684,0.522727272727273,0.131138211382114,0.116969696969697,0.127176114890401,0.999924242424242
129,343,0.19533527696793,0.395348837209302,0.112393162393162,0.1,0.115628117913832,0.999767441860465
123,528,0.189393939393939,0.569105691056911,0.109722222222222,0.0930894308943089,0.100885865457294,0.999512195121951
114,528,0.176136363636364,0.578947368421053,0.0857692307692308,0.0765789473684211,0.0851791383219955,0.999298245614035
110,325,0.16,0.381818181818182,0.075,0.0637272727272727,0.074530612244898,0.998090909090909
107,872,0.14105504587156,0.766355140186916,0.0670114942528736,0.0535514018691589,0.0639667422524565,0.995327102803738
103,649,0.12788906009245,0.689320388349515,0.0532098765432099,0.0409708737864078,0.0540468631897203,0.991844660194175
95,673,0.114413075780089,0.652631578947369,0.0414084507042254,0.0308421052631579,0.043145880574452,0.986
79,511,0.0958904109589041,0.544303797468355,0.03,0.0218987341772152,0.0299909297052154,0.969620253164557
67,691,0.060781476121563,0.582089552238806,0.0204166666666667,0.0144776119402985,0.0201466364323507,0.936119402985075
54,789,0.0506970849176172,0.703703703703704,0.0145945945945946,0.01,0.0123386243386243,0.880925925925926
40,632,0.0284810126582279,0.45,0.00695652173913044,0.004,0.00612698412698413,0.7515
26,716,0.0195530726256983,0.538461538461538,0.004,0.00153846153846154,0.00191685563114135,0.487692307692308
